Frame Number,Player Coordinates,Resp Team,Ball Coordinates,Distance
3,"[241.5909259648271, 228.25356698213474]",1,"[130.20542278687964, 348.0593631017407]",163.58532667099803
3,"[210.06683187600828, 372.39840346802583]",0,"[130.20542278687964, 348.0593631017407]",83.48792456189587
3,"[208.18746670540295, 307.08182852182927]",0,"[130.20542278687964, 348.0593631017407]",88.09289139288333
3,"[197.0227634453813, 282.7515770594138]",1,"[130.20542278687964, 348.0593631017407]",93.432670573117
3,"[195.82973381368885, 198.32580627840866]",1,"[130.20542278687964, 348.0593631017407]",163.48299066480706
3,"[151.83025571486394, 511.48618692751415]",0,"[130.20542278687964, 348.0593631017407]",164.85132739818513
3,"[140.92181170341485, 314.88289618589556]",0,"[130.20542278687964, 348.0593631017407]",34.864293316064874
3,"[186.17871306175383, 374.5141977207306]",0,"[130.20542278687964, 348.0593631017407]",61.9101566700766
3,"[166.82042489779903, 367.902710932095]",1,"[130.20542278687964, 348.0593631017407]",41.646330362939025
3,"[181.94718416163244, 314.65391463945235]",0,"[130.20542278687964, 348.0593631017407]",61.58842307713734
3,"[100.43146483077304, 339.5279402243524]",0,"[130.20542278687964, 348.0593631017407]",30.972144722069668
3,"[152.51024237811916, 382.5848617421771]",0,"[130.20542278687964, 348.0593631017407]",41.10371070072043
3,"[38.63456077589509, 360.3239310839404]",1,"[130.20542278687964, 348.0593631017407]",92.38854039990441
3,"[201.56067923787862, 372.7718821545157]",1,"[130.20542278687964, 348.0593631017407]",75.51345059737106
3,"[106.39779291845589, 253.56210738944065]",0,"[130.20542278687964, 348.0593631017407]",97.45016458225038
3,"[144.6200826428655, 250.95896197615272]",1,"[130.20542278687964, 348.0593631017407]",98.16450640386196
3,"[160.4236079880288, 91.14396383595617]",1,"[130.20542278687964, 348.0593631017407]",258.6864145964152
3,"[141.58391720487822, 188.96387267477039]",1,"[130.20542278687964, 348.0593631017407]",159.50186584933303
3,"[109.74021923466964, 378.5318729353312]",0,"[130.20542278687964, 348.0593631017407]",36.70692594036796
4,"[127.1103439444099, 343.08220389581714]",1,"[130.1970852191068, 348.0301579651111]",5.831828286974833
4,"[241.59006785333938, 228.27743044317572]",1,"[130.1970852191068, 348.0301579651111]",163.55155862630394
4,"[208.1891834688402, 307.06785188954683]",0,"[130.1970852191068, 348.0301579651111]",88.0947098776327
4,"[210.0501791500524, 372.4931037492062]",0,"[130.1970852191068, 348.0301579651111]",83.51618002986007
4,"[197.01959933789595, 282.66211107847096]",1,"[130.1970852191068, 348.0301579651111]",93.47849991805471
4,"[140.9134875917141, 314.8938501448471]",0,"[130.1970852191068, 348.0301579651111]",34.82608470343619
4,"[151.8287514785426, 511.5131971297913]",0,"[130.1970852191068, 348.0301579651111]",164.90795335483364
4,"[186.16872534548372, 374.5247608262587]",0,"[130.1970852191068, 348.0301579651111]",61.92566898473184
4,"[195.79810476753448, 198.3612947616738]",1,"[130.1970852191068, 348.0301579651111]",163.414388529292
